Id,airline_sentiment,airline,retweet_count,text,tweet_coord,tweet_location,user_timezone
18,negative,Southwest,0,@SouthwestAir The in-browser hover over is intrusive and annoying. And the fact that the WiFi only works on one device is sort of sad.,,"PHX, AZ",Arizona
19,negative,Southwest,0,@SouthwestAir now it's delayed until 3:55. Getting yelled at by attendants not to bother them. Getting worse,,,
20,positive,Southwest,0,@SouthwestAir It's all good. Thanks!,,,Pacific Time (US & Canada)
21,negative,United,1,@united No customer service rep could confirm where my bag was &amp; each gave me different info. Ruined 2 events I had today. #disappointed,"[35.00096266, -80.87374938]","Hoboken, NJ",Eastern Time (US & Canada)
22,negative,United,0,"@united I'm not sure how you can help. Your flight experience is terrible, planes are dirty and staff is rude. Start over perhaps?","[37.83520596, -122.25460611]",San Francisco,Pacific Time (US & Canada)
23,negative,United,0,@united ZCC82U Cancelled Flight flight 16h in advance??? Need connect flight reschedule so the link isn't helping. Help!? Gf waited months to see me.,,,Amsterdam
24,negative,American,0,@AmericanAir hi we have lost and found solution we want to offer for free to assist with contacting people when items are found,,Worldwide,
25,negative,Delta,0,@JetBlue time to reevaluate my nyc carrier.,,"Austin, TX",Central Time (US & Canada)
26,neutral,US Airways,0,@USAirways I just hope that pilot had a good day off,,,Atlantic Time (Canada)
27,negative,US Airways,0,@USAirways you gladly take the loyal customer's money but when you cause an inconvenience you do nothing to help fix the problem you caused.,,,
28,negative,US Airways,0,@USAirways still ignoring my question. #USAirways consistently providing poor customer service.,,DC,Eastern Time (US & Canada)
29,neutral,American,0,"@AmericanAir travel week, delays, Cancelled Flightlations, ""if you want to learn more about the merger press 1"", delay my connector in Chicago #deice",,"Waynesville, OHIO",
30,neutral,US Airways,0,@USAirways &amp; @AmericanAir what are your weight restrictions for carry on luggage? Can find measurements but not weight restrictions. TIA,,,Quito
31,negative,Delta,0,@JetBlue That's not what I heard. Weather was fine this morning. Flight 136 was circling for some time.Someone forgot to clean the runway.,,Long Island - Arizona ,
32,positive,Delta,0,@JetBlue Thank you!,,,Eastern Time (US & Canada)
33,negative,Delta,0,@JetBlue just sat on a plane for 3 hours in Dulles #insane #ijustwanttobeinBoston #thanksDC,,"Easton,Ma",Eastern Time (US & Canada)
34,negative,American,0,"@AmericanAir again, no special meal catered for me in F JFK-LAX. thankfully i'm on qantas the rest of way-i fear what youd NOT cater on that",,san francisco,Tehran
35,negative,United,0,"@United the ones who suffer. I understand delays, I don't understand trying speed up a process that has been delays to this extent.",,"Fort Wayne, Indiana",Eastern Time (US & Canada)
36,negative,United,1,@united you really screwed up dealing mechanical failure from Maui to San Francisco. Poor communication bad help in getting connections,,"Bay Area, CA",Pacific Time (US & Canada)
37,neutral,United,0,"@united Was on NH10 on United ticket, rerouted to IAD due to weather in JFK. Can you get us home on United 5713 or 3277?",,New York City,Eastern Time (US & Canada)
38,negative,American,0,"@AmericanAir yes, for tomorrow at 9 am. But I have to work though 😒 I'm really mad about the situation","[35.23770686, -80.92243302]",Guatemala.,Mountain Time (US & Canada)
39,negative,American,0,@AmericanAir delayed for two hours at ORD--&gt;CDG the one time I need to be there to catch a train... 😒,,"washington, dc",Eastern Time (US & Canada)
40,negative,American,0,@AmericanAir i do not want to stay overnight at this airport! I have been here since 11 am this morning!,,KY,Eastern Time (US & Canada)
41,neutral,Southwest,0,@SouthwestAir Yes! How about #DestinationDragons in San Diego?!?,"[32.80223908, -117.2312804]","San Diego, California",Pacific Time (US & Canada)
42,negative,United,0,"@united thanks for that advice, so helpful. Can't believe you guys actually charge people to ""fly"" united","[45.58931882, -122.5959928]",the questions district,Eastern Time (US & Canada)
43,positive,United,0,@united thank you! Love united!! Have 4 flights today!,,,Pacific Time (US & Canada)
44,negative,United,0,".@united It's worth saying that, if you litter in Singapore, you get caned. ""But there are rules"" says @united",,"San Diego, CA",Central Time (US & Canada)
45,negative,United,1,@united You make it hard to fly with you. Delayed over an hour and now the plane  is turning around &amp; heading back to the gate. #connection?,,"Hilo, HI",Hawaii
46,negative,US Airways,0,"@USAirways  ""please call Late Flightr"" is not acceptable - but neither is being on hold for 5+ hrs #onholdwith",,,Eastern Time (US & Canada)
47,positive,US Airways,0,“@USAirways: @hegshmeg O” thank you for that elaborate response,,los angeles ca,Pacific Time (US & Canada)
48,negative,American,0,@AmericanAir trying to get thru to agent since last night b/c AA changed our flight to 2 days from now. Infuriating! We need to get to SEA!,,"Bellevue, WA",
49,neutral,United,0,@united  I'm on standby for my connecting flight. 1st on the list.  NudgeNudge I'm told there are four slots open. Save it for me.  Please.,,"Madison, wi",Central Time (US & Canada)
50,negative,Delta,0,@JetBlue not one of my four flights this trip has been on time. What the he'll is your companies problem?,,"Portland, Maine",Eastern Time (US & Canada)
51,negative,Virgin America,0,@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!,,The other side,
52,negative,Southwest,0,@SouthwestAir not at all. Rerouted to snowy BWI been trying to figure out how to get out of here. Now dealing with more baggage troubles.,"[39.1799094, -76.6709767]","Tallahassee, FL",America/Chicago
53,negative,United,1,@united that's not even an apology,,,Pacific Time (US & Canada)
54,negative,United,0,@united just dropped bags at Newark. Your desk guy was the rudest customer facing person I have met. Even my two children were shocked!,,London,Amsterdam
55,neutral,Virgin America,0,@VirginAmerica you should have 39 dollar LAX-Las fares!!!,,Hogwarts,Pacific Time (US & Canada)
56,negative,American,0,"@AmericanAir on plane for JFK-&gt;SFO, been sitting here for 1.5 hours waiting for push crew, how is this acceptable?","[40.64859599, -73.79426922]","Washington, DC",Eastern Time (US & Canada)
57,negative,Southwest,0,@SouthwestAir still no update text #2053 &amp; still no response to email fr1/5/2015 SR #256746438028. Feel like yr losing customer service/care,,"St. Louis, MO",Central Time (US & Canada)
58,negative,American,0,@AmericanAir hi there flight from Dallas just Cancelled Flightled going to LA. Can u pls help rebook me?,"[32.90431463, -97.03489789]",,
59,negative,Delta,0,"@JetBlue the amount of money I spent on hotels for a WEEK bc of flight Cancelled Flightlation, another flight doesn't make up for the money lost.",,LA/NY,Pacific Time (US & Canada)
60,negative,Delta,0,@JetBlue she did. she's still waiting on a callback....the lack of follow through is what's concerning. smh,,"ÜT: 33.724561,-84.565845",Quito
61,negative,US Airways,0,@USAirways seriously!!!  Flight Cancelled Flighted. Auto rebooked to Tuesday??? Then 3hr 26min on hold for nothing. Renting car. Want refund!!!!,,New York State of Mind,Eastern Time (US & Canada)
62,negative,United,0,@united no. I need you to have more than 2 agents at check in.,,"Houston, TX",Central Time (US & Canada)
63,negative,United,0,@united stuck in YYZ because staff took a break? Not happy 1K....,,"Oak Park, IL ",Hawaii
64,positive,Delta,0,@JetBlue #1680 Super smooth flight and landing. Nicely done.,,DC SF,Eastern Time (US & Canada)
65,negative,Southwest,0,"@SouthwestAir Loved one's flight ATL to IND Cancelled Flightled due to ""ice in Indy"". Sitting here in Indy, it is bone dry. Tomorrow 4-6"" of snow.",,,Eastern Time (US & Canada)
66,neutral,Delta,0,"@JetBlue @JetBlueCheeps My friend bought a ticket last night for one of these routes from you, and it cost way more. Can you help?”",,"Las Cruces, NM",Mountain Time (US & Canada)
67,negative,American,0,"@AmericanAir @Rizzilient After days, I finally got the automated service to call me back but it hung on me! This is beyond ridicules.  help!",,,
68,negative,United,0,@united I have received one previously on the 11th having checked. Odd as you said there was no complaint associated with my e-mail?,,North West of England,
69,neutral,American,0,@AmericanAir my key point of confusion is whether I can make this change even though the initial Flight Booking Problems was on US Airways metal?,,"Wellesley, MA",Eastern Time (US & Canada)
70,negative,US Airways,0,@USAirways this is the worst customer service I have ever had. Rebooked to tues but seat available on mon. Wtf. Contact me.,,"kansas city, mo",Eastern Time (US & Canada)
71,negative,United,0,@united tried that already &amp; tried forgetting the wifi network connection. Still forces log in with incorrect email. Other suggestions?,,,
72,negative,Southwest,1,@SouthwestAir  3 flights yesterday; no treats but nuts and pretzels. Also no origami in the magazine. New policies? #OldPoliciesWayBetter,,,Eastern Time (US & Canada)
73,neutral,United,0,@united even though technically after I land I will be silver?,,,Central Time (US & Canada)
74,negative,US Airways,0,@USAirways seriously buy some WD40 for A319 operating flight 634 from GEG to Phoenix. Every seat squeaks w every shift. Still on ground!,,"Spokane, Washington",Pacific Time (US & Canada)
75,negative,Delta,0,@JetBlue's CEO battles to appease passengers and Wall Street - @TheVDT http://t.co/h6cE3mWCqj,,USA,Sydney
76,negative,United,0,"@united enough already with the poor service, old planes, ridiculous routing. 1k and time to find a new airline with status match.",,,
77,negative,American,0,@AmericanAir the whole plane is the same. How old is this plane?  The seats leather is coming apart ay the seams.,,,Atlantic Time (Canada)
78,neutral,Delta,0,@JetBlue Stop trying to make #fleek happen! #PointsMe,,,
79,negative,US Airways,0,@USAirways incapable of seating a 2yo and mom together. Toddler in his own row #fail @CNN,,"Brooklyn, NY",
80,positive,Delta,0,"@JetBlue well, the last update was in the right direction, at least! I'll keep my fingers crossed.",,"Malden, MA",Eastern Time (US & Canada)
81,positive,Southwest,0,"@SouthwestAir Great flight yesterday from MSY to AUS!! Thank you for such great safety,service and beautiful skies!! http://t.co/X1EqYAHfvZ",,nola/beantown,Hawaii
82,negative,United,0,@united Flight Cancelled Flightled to BDL and stranded @Dulles_Airport. Waiting almost 2hrs at customer service. Shout out to diligent agents.,,"New Haven, CT",
83,positive,US Airways,0,@USAirways YOU ARE THE BEST AIRWAYS! Follow me please!!!!!🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,,"Russia, Россия",Abu Dhabi
84,negative,United,0,@united received hotel but no food.  Also email for 3750 miles.  Last trip had 3 hr delay and 5000 miles - so less for Cancelled Flightlation?,,,
85,negative,United,1,@united UA647 heading back to gate bc improper load? if ur packing us to the gills should at least take care to load bags. expecting comp...,,"ÜT: 40.729379,-74.002951",Alaska
86,negative,United,0,@united and waiting,,,
87,negative,Southwest,0,@SouthwestAir still waiting. Just hit one hour.,,Today I'm in: Maryland ,Atlantic Time (Canada)
88,neutral,United,0,@united its available online I just can't figure out how to do it to guarantee same flight,,chicago IL,Central Time (US & Canada)
89,negative,United,0,"@united is unfriendly screw family, that hates kids and moms. now waiting on  UA871... pray its better FYVRFN ..due to agent error and tickt",,Taipei,Taipei
90,neutral,Delta,0,@JetBlue @weepysweetmonty i heard youre planning on letting people fly in the overhead compartments. why would you do that?,,,Eastern Time (US & Canada)
91,negative,American,0,"@AmericanAir called last night, after 10hrs got call back, can I get a one day pass to admirals club? I'm going to be spending 7hrs in DFW",,Southern California,
92,negative,United,0,@united Outbound 2 bags 70 lbs bags Returning home 1 bag 50 lbs. What is your logic? And WHY? Am I writing to a Machine? Human HELP required,"[0.0, 0.0]",Huntsville AL USA,Central Time (US & Canada)
93,positive,Delta,0,@JetBlue I just wanted to say flight attendant fitz was the best tonight on flight #1326 bwi/Bos. Great guy and made the flight fantastic!,,Bahhhston.,Eastern Time (US & Canada)
94,neutral,US Airways,0,@USAirways tell reservations to rebook me from 5080 to 5129,,,
95,negative,Delta,0,@JetBlue I'm over that honestly just would like to get going on the journey.,,nyc,Mountain Time (US & Canada)
96,positive,Southwest,0,@SouthwestAir Making Miracles again! The customer service department gave me by far one of the friendliest phone calls ever. #wheelsup,,Chicago,Pacific Time (US & Canada)
97,neutral,American,1,@AmericanAir 901 #Miami to #Rio to participate at @RCM_Oficial representing @CisnerosMedia #yourstoryhere,,Seat 4B,Eastern Time (US & Canada)
98,negative,United,0,@united you have yourselves to blame for giving me the time to get drunk and tell you how I feel about your overpriced sub par airline,,NJ ,Eastern Time (US & Canada)
99,negative,American,0,@AmericanAir trying to book a flight on hold- can't get through to a representative on the phone- Advice?,,"Naperville, IL ",Eastern Time (US & Canada)
100,negative,American,0,@AmericanAir You've now put me on a BA flight - can I get access for 2 for the lounge? Been at ORD for 11.5 hrs now and still have 5 to go.,,London,
101,neutral,Delta,0,@JetBlue That's pretty nice. Are flight credits automatically given after the flight? I also wish there were a lounge I could sleep in.,,"Provo, UT",Central Time (US & Canada)
102,negative,Southwest,0,@SouthwestAir hasn't evennotified us that theflight isdelayed via email/text/phone call.If we wererunning Late Flight I would be pissed #unreliable,,KCMO,
103,negative,American,0,"@AmericanAir Orbitz has only shown ""priority"" seats since we booked &amp; paid 3 weeks ago.",,Chicago,Central Time (US & Canada)
104,negative,Delta,0,@JetBlue why won't the site let me book tickets for nov for jfk to kin?,"[40.88539964, -73.85658056]","ÜT: 17.9889591,-76.7712636",Pacific Time (US & Canada)
105,negative,United,0,@united you're right. Good you caught the mechanical failure. Too bad there are no blankets. But ok.,,Washington DC,Eastern Time (US & Canada)
106,negative,Southwest,0,@SouthwestAir have a prompt for consumers for prompt for customer service instead of having customers on hold for 1.5 hrs,,,Central Time (US & Canada)
107,negative,US Airways,0,@USAirways I tried to call your customer service line only to be kept in a que for over 45 mins...... please hold =we don't care,,,
108,positive,US Airways,0,@USAirways surprisingly quick response time by you and them. Thanks!,,"Boston, MA | San Jose, CA",Arizona
109,negative,United,0,@united we needed to be at steamboat for a meeting by 3pm so we took a shuttle. The United customer service people said the bag would be on,,,Eastern Time (US & Canada)
110,negative,Southwest,0,@SouthwestAir I'm sorry for straying and going with @AmericanAir I've learned my lesson. These attendants need some SW happiness!,,Oklahoma,Mountain Time (US & Canada)
111,negative,United,0,@united airlines 1st &amp; only time I ever fly your airline! What a disgrace. @JimTrotter_NFL I should've listened to your tweet! #HORRIBLE,,,Eastern Time (US & Canada)
112,negative,American,0,@AmericanAir  many have missed connections already b/c of delayed flight which will finally board soon,,"PA, NY & HI",Quito
113,negative,Southwest,0,@SouthwestAir Twitter says I can't DM someone unless they follow me.  Can @SouthwestAir follows my twitter? thanks you.,,,
114,negative,United,0,@united I have never been mislead by a company as many times as I have this week by United Airlines!,,,Eastern Time (US & Canada)
115,negative,United,0,"@united its been five days, I'm just asking you to clarify your policy on car seats. I don't want to have to take this higher up.",,,
116,neutral,United,0,@united (2/2) pay in person at Portland airport. I will be flying from Perth. This has been done by US Air.,,,Casablanca
117,negative,United,0,@united Please follow FAA guidelines regarding bumping. It is NOT acceptable to give a $300 voucher for an $800 fare when you've,,"Atlanta, GA",Quito
118,negative,US Airways,0,"@USAirways ur ""response"" was: my ""inconvenience was of no matter."" U wanted me sit for 3 xtra nights in the city w/out comp! #donotflyusair",,,
119,negative,United,0,"@united $25 United coupon to make up for broken entertainment system on a 9-hour flight, seriously? #Ridiculousness #learncustomerservice",,,
120,negative,Southwest,0,"@SouthwestAir AH - did DM, no reply. On hold now over 2hrs. Just spent over $1k to get a United flight tmrw to get home. #lame",,,Central Time (US & Canada)
121,neutral,Delta,0,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/Of7PFvQpOY,,USA,Sydney
122,negative,US Airways,0,@USAirways hello! I never received a confirmation code for my flights (though they are confirmed--so says the automated reply). Any ideas?,,"Tuscaloosa, Alabama",Central Time (US & Canada)
123,neutral,Southwest,0,@SouthwestAir  Northern California coast http://t.co/nm4VNNF8Kb,,,
124,negative,US Airways,0,@USAirways This is ridiculous. You delayed my husband's flights &amp; made him miss his connection. Told him to leave his bags. Sent him (1/3),,"Asheville, NC",Central Time (US & Canada)
125,negative,United,0,@united I wrote to you but got nothing.and I am out of US .It is very simple thing.Will ypu provide compensation for your delay?,,,
126,negative,US Airways,0,@USAirways Cool. Now @SweetingR has been told you can't re-route his bags after he was told to leave them last night. He needs them to race.,,"Asheville, NC",Central Time (US & Canada)
127,neutral,Southwest,0,@SouthwestAir adds new direct flights from #Columbus to Oakland &amp; Boston starting August 2015 #cmh #oak #bos,,"Columbus, Ohio",
128,positive,United,0,"Thank you United! “@united: @dan_roam That's a beautiful place to stay a day longer. Have you been re-booked? If not, let me know. ^MN”",,,
129,negative,United,1,@united Holiday of a lifetime to New York ruined because you lost my luggage and have failed to find it since Sunday! #wontflyagainwithyou,,,
130,positive,American,0,@AmericanAir @beantownmatty Sounds like a date!,,,Central Time (US & Canada)
131,negative,American,0,@AmericanAir need2know if Ill be able to reach IND today.Rather stay in MAF that fly to DFW &amp; find out I can't travel http://t.co/gVgKHbx1RB,"[31.93684422, -102.20753682]",,
132,negative,Southwest,0,"@SouthwestAir @nelsjeff, 3.5 hrs. Late Flightr (no human interaction), ended up $'ing a completely new flight - so last flight out didn't sell out.",,,
133,neutral,United,0,@united - Kids left a kindle fire HD 6 onboard UA1037 (ORD-SFO) today. Row 9ABC-DEF (we had the whole row amongst the 5 of us).  Help...,,IL,Central Time (US & Canada)
134,negative,United,1,"@united at its worse. Can't figure how to pack plane, screws up connectns then claims no hotl rooms in San Fran for stranded pax. Way to go!",,,
135,negative,US Airways,0,@USAirways  you took the miles out of my account and told me that I could restore by paying $150 or opening a credit card,,,
136,negative,Southwest,0,"@SouthwestAir  appreciate y'all getting the gate issue figured GRR. Plenty open gates, yet we sit and wait on tarmac","[42.88502249, -85.52894527]","Grandville, Michigan",
137,negative,United,0,"@united Cancelled Flightled my direct flight Newark-Brussels last night, now 7 hours behind schedule. In EU compensation would be a given, but in US?",,Brussels,
138,negative,American,0,@AmericanAir  Did you guys just give up helping people? Your phone tree just hangs up on me and I have a flight tomorrow. Connection pending,,"El Paso, TX",Mountain Time (US & Canada)
139,negative,Delta,0,@JetBlue Jan 5? That's not summer http://t.co/TpzhjX7Hbt,,SJ-BOS-SJ,Quito
140,negative,American,0,"@AmericanAir flight 65 delayed over 4 hours on 2/22, had no GF meals despite my early request, attendant seat fell on my leg #badservice",,NY (Globetrotter.ExBonaerense),
141,negative,American,0,@AmericanAir you keep returning my call and hanging up when I answer? Help reFlight Booking Problems a flight!,,,Eastern Time (US & Canada)
142,negative,US Airways,0,@USAirways you used to have an evening flight DCA-DSM and an early AM return. Now it's middle of the work day for both. Inconvenient.,,,Eastern Time (US & Canada)
143,negative,United,0,@united flight 5187 to be specific. The last two were probably 30 feet apart and within sight of each other,,San Francisco,Pacific Time (US & Canada)
144,positive,Delta,0,"@JetBlue Very excited, for the first time this Sunday, March 1 I get to fly #JetBlue flight 123 #Mint from JFK. Looking forward :-)","[0.0, 0.0]",Wall Street • Manhattan • NYC ,Eastern Time (US & Canada)
145,negative,American,0,"@AmericanAir today, after 6 yrs., no longer my preferred airline.",,Chicago,
146,neutral,US Airways,0,"@USAirways on your website and on your boards at Logan it said it was on time, so we went through security and got to the gate (2)",,boston,Quito
147,neutral,Southwest,0,@SouthwestAir I'm following now,,"woodstock, Ontario, Canada",Atlantic Time (Canada)
148,positive,Southwest,0,@SouthwestAir replacing @vitaminwater with beer! Bravo!👏👏 Cheers! 🍻🍻 @Leinenkugels @DosEquis @FatTire,,chicago,Central Time (US & Canada)
149,neutral,Delta,0,@JetBlue yes slc on 4/19,,Logan.Utah,Pacific Time (US & Canada)
150,negative,US Airways,0,@USAirways Has the most useless &amp; Rude employees ever at Philadelphia airport never again will I fly with them ! 😤,,Tri-State ,
151,negative,Delta,0,"@JetBlue 's Once upon a sale that does not include BTV, as usual!  #jetbluehatesbtv",,Vermont,Atlantic Time (Canada)
152,negative,Delta,0,@JetBlue WELL...my paid tickets have NO assigned seats at all. So essentially I won't be on this flight unless I pay more.,"[40.61884429, -74.0153922]",Brooklyn =),Eastern Time (US & Canada)
153,positive,American,0,.@AmericanAir @TyWinter it's really the small things--the details--that make an excellent experience or a really irritating one.,"[41.97629096, -87.89888444]",KFAR,Central Time (US & Canada)
154,positive,Southwest,0,@SouthwestAir @JohnWayneAir Thank you both very much!!,,,Alaska
155,negative,US Airways,0,"@USAirways attempting ckin for flight on 2/19 all day, site unable to retrieve details.  Called twice and disconnected.",,,Quito
156,neutral,American,0,"@AmericanAir Not here yet, but I plan on it. If you could have them fly low and slow right in front of me, that would be great. ;-)",,Chicago,Central Time (US & Canada)
157,negative,Delta,0,"@JetBlue every time I look at the flight status, 30 more minutes is added to the delay. How about some points for trouble??",,,Central Time (US & Canada)
158,negative,American,0,@AmericanAir ...why would you sell seats for a 7 hour flight with half of the legroom occupied by an escape raft? http://t.co/DTHEyOFXrB,,,
159,negative,US Airways,0,"@USAirways US 728 stated their issues as: plane not moving as cargo door open on plane. Umm, ok. A little strange.",,,
160,neutral,Southwest,0,@SouthwestAir do new flights come out at midnight?,,,Quito
161,positive,US Airways,0,@USAirways see you on board tomorrow,,"Central, New Jersey",Hawaii
162,neutral,Southwest,0,@SouthwestAir Do you promise to not unfollow me? 😉,,"Denver, CO",Mountain Time (US & Canada)
163,negative,American,0,@AmericanAir #flight293 was supposed to depart at 745 and at 815 we still have not boarded.,,NYCATL,Eastern Time (US & Canada)
164,positive,American,0,"@AmericanAir Thank you, you too!",,United States,Mountain Time (US & Canada)
165,negative,US Airways,0,@USAirways then why did my whole team be able to put there carry ons under the plane,,,
166,negative,Southwest,0,@SouthwestAir my parents flight frm STL2ATL Cancelled Flighted 2nite. When's the next one out?!,,Atlanta,Eastern Time (US & Canada)
167,neutral,American,0,@AmericanAir Dallas/Fort Worth flight number 5320,,,
168,positive,Delta,0,@JetBlue credit to you for replying.  I’ll look forward to hopefully one of those 103 on my flight home tonight :),"[0.0, 0.0]",Parkland Fl,Eastern Time (US & Canada)
169,neutral,Delta,0,@JetBlue yup! He said there would be flight change fee. But the plane should be here in 45 minutes apparently.,,Maine,Eastern Time (US & Canada)
170,neutral,Delta,0,@JetBlue to allow payment by #Apple Pay - Patriarc http://t.co/bdUaUZFhW2,,USA,Sydney
171,positive,Delta,0,@jetblue thanks,,"Cambridge, MA",Eastern Time (US & Canada)
172,neutral,Virgin America,0,@VirginAmerica is your website ever coming back online?,,,
173,negative,United,1,@united your website is a complete joke when using safari!,"[28.34834331, -81.48581918]","Celebration, FL ",Eastern Time (US & Canada)
174,neutral,United,0,"@united 8602947, jon at http://t.co/58tuTgli0D, thanks.",,"Santa Rosa, CA",Eastern Time (US & Canada)
175,neutral,Southwest,0,@SouthwestAir so when do we find out who won the imagine dragons contest?,,,Atlantic Time (Canada)
176,neutral,Southwest,0,@SouthwestAir Can I book a flight on my own and get reimbursed by you?,,Ohio,
177,neutral,Southwest,0,@SouthwestAir can I get some luv with a fallow?,,,
178,negative,American,0,@AmericanAir no standby line update online or on app either is troubling,,,
179,neutral,Southwest,0,@SouthwestAir do you think the flights out of Nashville will be Cancelled Flighted tomorrow?,,TN,
180,negative,United,0,@united they wouldn't let me on. Real nice of you! Just love your awesome service. And U have 2 people working this customer service line..,"[29.98870677, -95.33845443]",california,Central Time (US & Canada)
181,negative,United,0,"@united the most frustrating flying experience. One continuous ""I dunno what time you will leave today. "". Dunno?! That's code for ...?",,Richmond Virginia ,Eastern Time (US & Canada)
182,negative,US Airways,0,"@USAirways not happy w/ app Late Flightly. Last time I flew wouldn't let me check in, This time I checked in went on Late Flightr says I never checked in",,,Eastern Time (US & Canada)
183,negative,US Airways,0,"@USAirways Why is my ""first available"" flight for me now Tuesday but a flight today  that is ""booked ""#flt 755 available to buy online?",,,
184,neutral,Delta,2,@JetBlue now out of A gates and into main terminal @ DCA. @NATCA members keeping watch from ATCT. #avgeek http://t.co/hPsiEaokwh,,KFDK,Eastern Time (US & Canada)
185,positive,US Airways,0,@USAirways Thank you!!! On our way to get her bag now - thanks to having that number 😊,,"Fernandina Beach, FL",Eastern Time (US & Canada)
186,negative,US Airways,0,@USAirways thx for taking my $600 for a 1way then Cancelled Flightling 1st flt delay 2nd flt and u top it off by losing my one piece of luggage #usuck,,,Central Time (US & Canada)
187,negative,US Airways,0,@USAirways churn rate increasing by the second,,Boston,Quito
188,positive,United,0,@united one lady helping the 12 of us with luggage,,"Atlantic Highlands, NJ",Eastern Time (US & Canada)
189,negative,Southwest,0,"@SouthwestAir there... from my first interaction with your people this morning, after bad weather, sorry but I wont be flying with you again",,"Memphis, TN",Central Time (US & Canada)
190,negative,United,0,"@united all good, didn't die or anything. As they say ""you get what you pay for""!",,"San Francisco, Ca",Pacific Time (US & Canada)
191,negative,US Airways,0,"@usairways when trying to check-in online, it says to call...now I've been on hold for 2 hours...what to do?",,,Eastern Time (US & Canada)
192,negative,Delta,0,"@JetBlue after boarding flight 0510, the captain informs that he could exceed the16 hrs regulation and turned the plane around. Incredible!",,,Santiago
193,negative,American,0,"@AmericanAir two hours Late Flightr and still waiting for a callback. Need to reschedule flight 1027, hopefully to the Late Flightr one tomo not Cancelled Flighted",,"Tokyo, Japan",Eastern Time (US & Canada)
194,negative,American,0,@AmericanAir  zoom in on the sauce and potatoes.  This stuff is vile.  And I mean vile. http://t.co/m2PHoavRxC,,,
195,negative,US Airways,0,@USAirways I just want to be heard and to discuss the many issues on my trip,,"Las Vegas, NV",Pacific Time (US & Canada)
196,negative,Southwest,0,@SouthwestAir I wrote to your customer support on Monday re: a Cancelled Flighted flight but haven't heard back. Any idea what's up? Thanks.,,"New York, NY",Mountain Time (US & Canada)
197,negative,Delta,0,"@JetBlue I've spent three hours talking to all different people, most of which couldn't help. I probably won't be using JetBlue again.",,,Quito
